,center_row,center_col,x0_m,y0_m,x0_px,y0_px,depth_m,depth_px,rmse,rank,si,tz_sign
0,15,15,694.5444251652996,1812.624012088707,8.753211817819691,19.540386488855606,0.7504503176370038,0.008720572333557329,45.49913451012038,4,0,1
1,15,75,5757.889282274555,1491.2733099066409,72.56558786618713,16.076172797971648,70.6693326708318,0.821209629520486,35.33989785340913,4,0,1
2,15,135,12517.766011333253,2276.434038795085,157.75903371051663,24.54033524756461,7.491155404165204,0.0870506161815506,58.99272312856573,4,0,1
3,15,315,23755.75136349565,1330.562823504739,299.3892342115444,14.343687188070408,3.8361801540993237,0.0445781495885274,28.422251079304235,4,0,1
4,15,355,28337.538182230586,1320.221394133255,357.13262552727804,14.23220486994027,14.232524191856701,0.16538837253744262,42.739784349556196,4,0,1
5,15,375,29677.333885615106,1265.6525919566388,374.0178169699108,13.643944161898407,22.89126096813149,0.2660068126928127,38.798177857548396,4,0,1
6,15,415,33367.39922082787,982.3765840049712,420.52301135401933,10.590181968812757,38.07535103526804,0.44245281136552284,49.38260690434189,4,0,1
7,15,435,32928.219349548264,479.1917874199536,414.9881106332796,5.165766681906446,114.1143302127281,1.3260601635149107,37.90040133409325,4,0,1
8,15,455,35645.47159963471,-972.5466166009064,449.2331259925104,-10.484213295239389,320.2876998112866,3.7218880292406675,45.85797579081138,4,0,1
9,15,475,34271.85821657645,-656.3692749846873,431.92173673927545,-7.075769286445413,398.38854214025264,4.62945516437905,43.574874926115534,4,0,1
10,15,495,39183.14731833258,-1094.279305488002,493.8177829079412,-11.796511804647556,77.58597921704575,0.9015841927585069,56.79624562061335,4,0,1
11,15,735,56480.37133663159,2179.1892050826978,711.8114204731917,23.492019864941536,1.9590082394518034,0.022764562360326295,17.195294940050758,4,0,1
12,15,835,65863.8217770465,1650.9019179389932,830.0692687993331,17.79699558020761,108.35838311626729,1.2591734531982721,54.43701731203084,4,0,1
13,15,855,67051.75403080304,1129.276606742307,845.0405539548885,12.1737884974505,117.5430904259814,1.3659039089986218,88.51377932640987,4,0,1
14,15,895,71147.60537539078,1460.7990316615233,896.6597925441916,15.747655040892868,173.18719694500132,2.012513610441908,181.881377133364,4,0,1
15,15,915,73207.10752597993,1811.3238264239906,922.6153080017833,19.526370272460813,160.24100238096216,1.8620729703532994,103.68411403183647,4,0,1
16,15,935,73438.57087218924,2179.007077918138,925.5323967062953,23.490056504000776,308.0231319583535,3.5793682000291898,59.29264925809454,4,0,1
17,15,955,74761.22287126732,2222.6123322722033,942.2015292912091,23.960128354169775,201.52812855511377,2.3418480624341504,52.65698177922282,4,0,1
18,15,1015,81514.05636369994,980.3646814817598,1027.306210558591,10.568493327031964,37.796125894773354,0.43920808885984264,100.41105518970528,4,0,1
19,15,1035,82339.88042312932,2011.4595092408103,1037.7139147377968,21.683866016956276,26.066694021086068,0.30290678192176,201.87827453597166,4,0,1
