peak_index,peak_lon,peak_lat,peak_value,quality_score,nearest_distance_km,n_drillholes_1km,n_drillholes_2km,n_drillholes_5km,z_true_median_5km,z_true_max_5km
21,135.1332491109687,-29.296451756948382,1175.9738574218768,2.3213761414278418,0.11925864252292577,63,189,201,57.02040816326531,341.18666666666667
14,137.14983511096872,-33.03379834474181,1175.9738574218768,2.886915244079232,0.14956643037688824,62,126,887,21.5,168.49442307692308
17,135.11658311096872,-30.03057340812209,1175.9738574218768,2.6527638764699404,0.6647576717616751,4,14,288,39.925,152.9406779661017
3,133.74997111096872,-30.097311740046973,1175.9738574218768,4.585115134479252,0.47035040125018174,3,5,27,29.318181818181817,45.80952380952381
7,134.7499311109687,-30.29752673582162,1175.9738574218768,3.3604236423089753,0.9826566593265753,2,30,63,38.98717948717949,116.77272727272728
26,133.9999611109687,-34.168349987464815,1175.9738574218768,1.6146893285266444,0.8086628435623101,2,26,39,7.451111111111112,70.67647058823529
1,134.38327911096872,-29.830358412347444,1175.9738574218768,5.368248847833295,1.2790096279174727,0,6,29,25.202380952380953,41.625
22,135.5498991109687,-29.413243837816925,1175.9738574218768,2.2538351666400764,1.454915589768151,0,4,20,13.096153846153845,344.8909090909091
15,134.89992511096872,-29.396559254835704,1175.9738574218768,2.822907524962226,1.8445708744506004,0,2,14,100.56363636363636,211.26402298850576
24,135.5165671109687,-29.346505505892043,1175.9738574218768,2.207187851604455,1.9540744588083037,0,1,13,10.5,60.075
6,134.19995311096872,-30.130680906009413,1175.9738574218768,3.560396559638769,1.6192951793458663,0,1,7,27.96875,45.94736842105263
11,134.89992511096872,-30.24747298687796,1175.9738574218768,3.0813422312538075,1.7599203245342034,0,1,5,92.93923076923078,159.755625
0,133.8999651109687,-29.880412161291105,1175.9738574218768,7.219706820822609,3.6272723629654213,0,0,36,40.70833333333333,77.03571428571429
12,134.83326111096872,-29.396559254835704,1175.9738574218768,3.04452789140341,2.4526192022674236,0,0,17,43.25,111.0
5,133.94996311096872,-30.29752673582162,1175.9738574218768,3.7715247344684606,2.288378495006561,0,0,12,16.45,102.29032258064515
8,134.69993311096871,-29.296451756948382,1175.9738574218768,3.340308209273858,2.0998789561948272,0,0,11,35.986111111111114,100.71428571428572
25,133.7999691109687,-34.201719153427256,1175.9738574218768,1.6715923109578197,3.403026670248341,0,0,5,4.590625,23.53125
4,135.91655111096873,-29.76362008042256,1175.9738574218768,3.94358547829044,2.64117691174963,0,0,4,113.94831730769229,149.7058823529412
18,135.6498951109687,-29.58008966762913,1175.9738574218768,2.6036953704596244,2.4665182654481477,0,0,3,118.57142857142856,155.79444444444445
19,135.01658711096871,-29.329820922910823,1175.9738574218768,2.4894277682606885,2.01094725689132,0,0,2,65.14444444444445,71.88888888888889
2,136.66652111096872,-29.78030466340378,1175.9738574218768,4.592680557503723,2.130917749837387,0,0,2,8.25,14.0
9,135.78322311096872,-29.696881748497677,1175.9738574218768,3.262746340631386,3.9265311744111213,0,0,2,114.18010752688171,177.19354838709677
23,135.33324111096871,-29.329820922910823,1175.9738574218768,2.2294082439053713,4.806621547877774,0,0,2,12.099019607843138,12.764705882352942
13,133.6166431109687,-29.346505505892043,1175.9738574218768,2.92754593639812,5.394601161680009,0,0,0,,
16,136.79984911096872,-30.113996323028193,1175.9738574218768,2.740273265014087,5.838608724170403,0,0,0,,
27,137.18316711096872,-34.185034570446035,1175.9738574218768,1.5985285244708984,6.653262696659793,0,0,0,,
10,133.49998111096872,-29.363190088873264,1175.9738574218768,3.2186260184899393,7.661260442526108,0,0,0,,
20,137.26649711096871,-29.813673829366223,1175.9738574218768,2.4559719857717504,9.296434095793737,0,0,0,,
28,137.39982511096872,-34.185034570446035,1175.9738574218768,1.280055648834034,14.36138055196962,0,0,0,,
